Что надо знать про Дифлюкан,http://www.happy-giraffe.ru/community/33/forum/post/51791/,+,+,,,,,,,,,,,,
Антибиотик флемоксин: самолечение опасно для жизни,http://www.happy-giraffe.ru/community/33/forum/post/51796/,+,+,,,,,,,,,,,,
Левомеколь: применение и действие,http://www.happy-giraffe.ru/community/33/forum/post/51799/,+,+,,,,,,,,,,,,
"Чудодейственный витамин Аевит — для волос, для кожи и ногтей",http://www.happy-giraffe.ru/community/33/forum/post/51800/,+,+,,,,,,,,,,,,
Чем поможет «Кагоцел» для детей?,http://www.happy-giraffe.ru/community/33/forum/post/51808/,+,+,,,,,,,,,,,,
Актовегин аналоги: схожесть и различие,http://www.happy-giraffe.ru/community/33/forum/post/53549/,+,+,,,,,,,,,,,,
Как еще могут воздействовать на наш организм антигистаминные препараты?,http://www.happy-giraffe.ru/community/33/forum/post/53687/,+,+,,,,,,,,,,,,
3 удивительных факта про аспаркам и список его аналогов,http://www.happy-giraffe.ru/community/33/forum/post/53692/,+,+,,,,,,,,,,,,
Ацикловир в таблетках убивает вирус герпеса,http://www.happy-giraffe.ru/community/33/forum/post/53702/,+,+,,,,,,,,,,,,
Как правильно делаются ингаляции с «Беродуалом»?,http://www.happy-giraffe.ru/community/33/forum/post/53760/,+,+,,,,,,,,,,,,
Макмирор таблетки: микробам не устоять!,http://www.happy-giraffe.ru/community/33/forum/post/53819/,+,+,,,,,,,,,,,,
Нолицин антибиотик — первый помощник при инфекциях мочеполовой системы,http://www.happy-giraffe.ru/community/33/forum/post/54027/,+,+,,,,,,,,,,,,
Нимесил порошок и алкоголь — двойной удар по печени,http://www.happy-giraffe.ru/community/33/forum/post/54030/,+,+,,,,,,,,,,,,
Мовалис (уколы). Инструкция по применению,http://www.happy-giraffe.ru/community/33/forum/post/54034/,+,+,,,,,,,,,,,,
"Мильгамма уколы инструкция: все, что вы хотели знать",http://www.happy-giraffe.ru/community/33/forum/post/54037/,+,+,,,,,,,,,,,,
Мильгамма – таблетки для здоровья нервной системы,http://www.happy-giraffe.ru/community/33/forum/post/54043/,+,+,,,,,,,,,,,,
Метронидазол: от чего лечит этот популярный препарат?,http://www.happy-giraffe.ru/community/33/forum/post/54053/,+,+,,,,,,,,,,,,
"Мазь для заживления ран, или эффект Актовегина",http://www.happy-giraffe.ru/community/33/forum/post/54066/,+,+,,,,,,,,,,,,
Цинковая мазь: применение при кожных заболеваниях достаточно эффективно,http://www.happy-giraffe.ru/community/33/forum/post/54298/,+,+,,,,,,,,,,,,
Гормональная мазь Синафлан: от чего она помогает?,http://www.happy-giraffe.ru/community/33/forum/post/54390/,+,+,,,,,,,,,,,,
Мазь Левомеколь: применение от прыщей эффективно в экстренных случаях,http://www.happy-giraffe.ru/community/33/forum/post/54394/,+,+,,,,,,,,,,,,
Лактобактерин – дисбактериоз отступает,http://www.happy-giraffe.ru/community/33/forum/post/54408/,+,+,,,,,,,,,,,,
Левомеколь. Мазь подростков и хирургов,http://www.happy-giraffe.ru/community/33/forum/post/54604/,+,+,,,,,,,,,,,,
Аугментин – лечит бронхит и не только!,http://www.happy-giraffe.ru/community/33/forum/post/55347/,+,+,,,,,,,,,,,,
Витамины группы В в ампулах — ТОП-7 препаратов,http://www.happy-giraffe.ru/community/33/forum/post/55357/,+,+,,,,,,,,,,,,
Ципролет антибиотик или нет?,http://www.happy-giraffe.ru/community/33/forum/post/55603/,+,+,,,,,,,,,,,,
Незаменимая цинковая мазь,http://www.happy-giraffe.ru/community/33/forum/post/55605/,+,+,,,,,,,,,,,,
Что надо знать про Флемоксин,http://www.happy-giraffe.ru/community/33/forum/post/55615/,+,+,,,,,,,,,,,,
Верошпирон. От чего помогает данное лекарство?,http://www.happy-giraffe.ru/community/33/forum/post/55839/,+,+,,,,,,,,,,,,
Полезные минералы и витамины для зубов,http://www.happy-giraffe.ru/community/33/forum/post/55842/,+,+,,,,,,,,,,,,
Гексикон (свечи) при молочнице действительно эффективен?,http://www.happy-giraffe.ru/community/33/forum/post/55859/,+,+,,,,,,,,,,,,
Трихопол: показания к применению при разных заболеваниях,http://www.happy-giraffe.ru/community/33/forum/post/56088/,+,+,,,,,,,,,,,,
Трихопол от прыщей? Да!,http://www.happy-giraffe.ru/community/33/forum/post/56092/,+,+,,,,,,,,,,,,
Когда назначается и как используется тетрациклиновая мазь,http://www.happy-giraffe.ru/community/33/forum/post/56096/,+,+,,,,,,,,,,,,
Таблетки от укачивания – как выбрать подходящие?,http://www.happy-giraffe.ru/community/33/forum/post/56103/,+,+,,,,,,,,,,,,
Гепариновая мазь: применение при различных заболеваниях,http://www.happy-giraffe.ru/community/33/forum/post/56689/,+,+,,,,,,,,,,,,
Когда и как используется Димексид в гинекологии,http://www.happy-giraffe.ru/community/33/forum/post/56726/,+,+,,,,,,,,,,,,
Дюфастон при задержке месячных – насколько эффективно и безопасно?,http://www.happy-giraffe.ru/community/33/forum/post/56731/,+,+,,,,,,,,,,,,
Ихтиоловая мазь – для чего и когда применяется?,http://www.happy-giraffe.ru/community/33/forum/post/56745/,+,+,,,,,,,,,,,,
Убирающие покраснения и отбеливающие капли для глаз: за и против,http://www.happy-giraffe.ru/community/33/forum/post/57047/,+,+,,,,,,,,,,,,
Метрогил – от трихомониаза и не только…,http://www.happy-giraffe.ru/community/33/forum/post/57051/,+,+,,,,,,,,,,,,
Контрацептивы для женщин: выбор есть!,http://www.happy-giraffe.ru/community/33/forum/post/57317/,+,+,,,,,,,,,,,,
Проверенный и столь знакомый левомеколь,http://www.happy-giraffe.ru/community/33/forum/post/57343/,+,+,,,,,,,,,,,,
Лекарства от мигрени – когда и что лучше принимать?,http://www.happy-giraffe.ru/community/33/forum/post/57349/,+,+,,,,,,,,,,,,
Пивные дрожжи в таблетках: кладезь витаминов и микроэлементов,http://www.happy-giraffe.ru/community/33/forum/post/57609/,+,+,,,,,,,,,,,,
Препараты от давленния по группам,http://www.happy-giraffe.ru/community/33/forum/post/57661/,+,+,,,,,,,,,,,,
Регулон: как принимать и как он действует,http://www.happy-giraffe.ru/community/33/forum/post/57670/,+,+,,,,,,,,,,,,
"Таблетки от кашля с термопсисом: эффективность, доказанная годами",http://www.happy-giraffe.ru/community/33/forum/post/57926/,+,+,,,,,,,,,,,,
Что надо знать про свечи Полижинакс,http://www.happy-giraffe.ru/community/33/forum/post/57976/,+,+,,,,,,,,,,,,
Синтомициновая мазь: инструкция по применению,http://www.happy-giraffe.ru/community/33/forum/post/57988/,+,+,,,,,,,,,,,,
Гексикон и отзывы на препарат,http://www.happy-giraffe.ru/community/33/forum/post/58837/,+,+,,,,,,,,,,,,
ТОП 10: антидепрессанты растительного происхождения!,http://www.happy-giraffe.ru/community/33/forum/post/58842/,+,+,,,,,,,,,,,,
Витамины для ногтей – алфавит красоты и блеска,http://www.happy-giraffe.ru/community/33/forum/post/59007/,+,+,,,,,,,,,,,,
Дюспаталин: показания к применению,http://www.happy-giraffe.ru/community/33/forum/post/61513/,+,+,,,,,,,,,,,,
Дона — лекарство с доказанной эффективностью,http://www.happy-giraffe.ru/community/33/forum/post/61517/,+,+,,,,,,,,,,,,
Кортексин: показания к применению,http://www.happy-giraffe.ru/community/33/forum/post/61696/,+,+,,,,,,,,,,,,
Тенотен: инструкция по применению для взрослых,http://www.happy-giraffe.ru/community/33/forum/post/62509/,+,+,,,,,,,,,,,,
Церукал: показания к применению очень широки!,http://www.happy-giraffe.ru/community/33/forum/post/62513/,+,+,,,,,,,,,,,,
Глюкозамин — препарат для костей и суставов,http://www.happy-giraffe.ru/community/33/forum/post/63863/,+,+,,,,,,,,,,,,
Климакс: средства от приливов,http://www.happy-giraffe.ru/community/33/forum/post/63865/,+,+,,,,,,,,,,,,
Лоринден: сильнодействующая мазь. Будьте осторожны!,http://www.happy-giraffe.ru/community/33/forum/post/63869/,+,+,,,,,,,,,,,,
"Мазь Вишневского: применение простое, результат ошеломляющий!",http://www.happy-giraffe.ru/community/33/forum/post/64010/,+,+,,,,,,,,,,,,
Тербинафин — ответы на популярные вопросы,http://www.happy-giraffe.ru/community/33/forum/post/64011/,+,+,,,,,,,,,,,,
Оксолиновая мазь: применение разнопроцентных средств должно быть правильным!,http://www.happy-giraffe.ru/community/33/forum/post/64031/,+,+,,,,,,,,,,,,
